# Generated by QuTiP: 15001x5 complex matrix in decimal format [',' separated values].
-0.4914666667+0.0000000000j,0.4225148762+0.0000000000j,0.4268777941+0.0000000000j,0.0009226658+0.0000000000j,0.0009228023+0.0000000000j
-0.4914000000+0.0000000000j,0.4225095184+0.0000000000j,0.4268722996+0.0000000000j,0.0009247817+0.0000000000j,0.0009249187+0.0000000000j
-0.4913333333+0.0000000000j,0.4225041596+0.0000000000j,0.4268668037+0.0000000000j,0.0009269020+0.0000000000j,0.0009270396+0.0000000000j
-0.4912666667+0.0000000000j,0.4224987998+0.0000000000j,0.4268613064+0.0000000000j,0.0009290269+0.0000000000j,0.0009291649+0.0000000000j
-0.4912000000+0.0000000000j,0.4224934389+0.0000000000j,0.4268558075+0.0000000000j,0.0009311563+0.0000000000j,0.0009312948+0.0000000000j
-0.4911333333+0.0000000000j,0.4224880771+0.0000000000j,0.4268503071+0.0000000000j,0.0009332901+0.0000000000j,0.0009334291+0.0000000000j
-0.4910666667+0.0000000000j,0.4224827144+0.0000000000j,0.4268448054+0.0000000000j,0.0009354285+0.0000000000j,0.0009355680+0.0000000000j
-0.4910000000+0.0000000000j,0.4224773511+0.0000000000j,0.4268393027+0.0000000000j,0.0009375714+0.0000000000j,0.0009377114+0.0000000000j
-0.4909333333+0.0000000000j,0.4224719875+0.0000000000j,0.4268337994+0.0000000000j,0.0009397189+0.0000000000j,0.0009398594+0.0000000000j
-0.4908666667+0.0000000000j,0.4224666239+0.0000000000j,0.4268282958+0.0000000000j,0.0009418709+0.0000000000j,0.0009420119+0.0000000000j
-0.4908000000+0.0000000000j,0.4224612606+0.0000000000j,0.4268227925+0.0000000000j,0.0009440275+0.0000000000j,0.0009441689+0.0000000000j
-0.4907333333+0.0000000000j,0.4224558980+0.0000000000j,0.4268172900+0.0000000000j,0.0009461886+0.0000000000j,0.0009463306+0.0000000000j
-0.4906666667+0.0000000000j,0.4224505365+0.0000000000j,0.4268117885+0.0000000000j,0.0009483543+0.0000000000j,0.0009484968+0.0000000000j
-0.4906000000+0.0000000000j,0.4224451762+0.0000000000j,0.4268062887+0.0000000000j,0.0009505246+0.0000000000j,0.0009506676+0.0000000000j
-0.4905333333+0.0000000000j,0.4224398175+0.0000000000j,0.4268007907+0.0000000000j,0.0009526995+0.0000000000j,0.0009528429+0.0000000000j
-0.4904666667+0.0000000000j,0.4224344604+0.0000000000j,0.4267952949+0.0000000000j,0.0009548789+0.0000000000j,0.0009550229+0.0000000000j
-0.4904000000+0.0000000000j,0.4224291050+0.0000000000j,0.4267898013+0.0000000000j,0.0009570630+0.0000000000j,0.0009572075+0.0000000000j
-0.4903333333+0.0000000000j,0.4224237513+0.0000000000j,0.4267843098+0.0000000000j,0.0009592517+0.0000000000j,0.0009593967+0.0000000000j
-0.4902666667+0.0000000000j,0.4224183992+0.0000000000j,0.4267788205+0.0000000000j,0.0009614450+0.0000000000j,0.0009615905+0.0000000000j
-0.4902000000+0.0000000000j,0.4224130485+0.0000000000j,0.4267733330+0.0000000000j,0.0009636430+0.0000000000j,0.0009637890+0.0000000000j
-0.4901333333+0.0000000000j,0.4224076989+0.0000000000j,0.4267678470+0.0000000000j,0.0009658456+0.0000000000j,0.0009659921+0.0000000000j
-0.4900666667+0.0000000000j,0.4224023501+0.0000000000j,0.4267623622+0.0000000000j,0.0009680528+0.0000000000j,0.0009681999+0.0000000000j
-0.4900000000+0.0000000000j,0.4223970017+0.0000000000j,0.4267568779+0.0000000000j,0.0009702647+0.0000000000j,0.0009704123+0.0000000000j
-0.4899333333+0.0000000000j,0.4223916534+0.0000000000j,0.4267513939+0.0000000000j,0.0009724813+0.0000000000j,0.0009726294+0.0000000000j
-0.4898666667+0.0000000000j,0.4223863049+0.0000000000j,0.4267459096+0.0000000000j,0.0009747026+0.0000000000j,0.0009748512+0.0000000000j
-0.4898000000+0.0000000000j,0.4223809559+0.0000000000j,0.4267404245+0.0000000000j,0.0009769285+0.0000000000j,0.0009770777+0.0000000000j
-0.4897333333+0.0000000000j,0.4223756060+0.0000000000j,0.4267349383+0.0000000000j,0.0009791592+0.0000000000j,0.0009793088+0.0000000000j
-0.4896666667+0.0000000000j,0.4223702552+0.0000000000j,0.4267294506+0.0000000000j,0.0009813945+0.0000000000j,0.0009815447+0.0000000000j
-0.4896000000+0.0000000000j,0.4223649032+0.0000000000j,0.4267239614+0.0000000000j,0.0009836346+0.0000000000j,0.0009837853+0.0000000000j
-0.4895333333+0.0000000000j,0.4223595501+0.0000000000j,0.4267184706+0.0000000000j,0.0009858794+0.0000000000j,0.0009860306+0.0000000000j
-0.4894666667+0.0000000000j,0.4223541960+0.0000000000j,0.4267129782+0.0000000000j,0.0009881289+0.0000000000j,0.0009882807+0.0000000000j
-0.4894000000+0.0000000000j,0.4223488409+0.0000000000j,0.4267074844+0.0000000000j,0.0009903831+0.0000000000j,0.0009905355+0.0000000000j
-0.4893333333+0.0000000000j,0.4223434853+0.0000000000j,0.4267019895+0.0000000000j,0.0009926422+0.0000000000j,0.0009927950+0.0000000000j
-0.4892666667+0.0000000000j,0.4223381292+0.0000000000j,0.4266964939+0.0000000000j,0.0009949059+0.0000000000j,0.0009950593+0.0000000000j
-0.4892000000+0.0000000000j,0.4223327732+0.0000000000j,0.4266909981+0.0000000000j,0.0009971745+0.0000000000j,0.0009973284+0.0000000000j
-0.4891333333+0.0000000000j,0.4223274175+0.0000000000j,0.4266855025+0.0000000000j,0.0009994478+0.0000000000j,0.0009996023+0.0000000000j
-0.4890666667+0.0000000000j,0.4223220625+0.0000000000j,0.4266800077+0.0000000000j,0.0010017259+0.0000000000j,0.0010018809+0.0000000000j
-0.4890000000+0.0000000000j,0.4223167086+0.0000000000j,0.4266745141+0.0000000000j,0.0010040088+0.0000000000j,0.0010041644+0.0000000000j
-0.4889333333+0.0000000000j,0.4223113560+0.0000000000j,0.4266690221+0.0000000000j,0.0010062965+0.0000000000j,0.0010064526+0.0000000000j
-0.4888666667+0.0000000000j,0.4223060050+0.0000000000j,0.4266635321+0.0000000000j,0.0010085890+0.0000000000j,0.0010087457+0.0000000000j
-0.4888000000+0.0000000000j,0.4223006557+0.0000000000j,0.4266580443+0.0000000000j,0.0010108864+0.0000000000j,0.0010110436+0.0000000000j
-0.4887333333+0.0000000000j,0.4222953082+0.0000000000j,0.4266525587+0.0000000000j,0.0010131885+0.0000000000j,0.0010133463+0.0000000000j
-0.4886666667+0.0000000000j,0.4222899624+0.0000000000j,0.4266470755+0.0000000000j,0.0010154956+0.0000000000j,0.0010156539+0.0000000000j
-0.4886000000+0.0000000000j,0.4222846183+0.0000000000j,0.4266415944+0.0000000000j,0.0010178074+0.0000000000j,0.0010179663+0.0000000000j
-0.4885333333+0.0000000000j,0.4222792756+0.0000000000j,0.4266361153+0.0000000000j,0.0010201242+0.0000000000j,0.0010202836+0.0000000000j
-0.4884666667+0.0000000000j,0.4222739341+0.0000000000j,0.4266306377+0.0000000000j,0.0010224458+0.0000000000j,0.0010226058+0.0000000000j
-0.4884000000+0.0000000000j,0.4222685934+0.0000000000j,0.4266251614+0.0000000000j,0.0010247722+0.0000000000j,0.0010249328+0.0000000000j
-0.4883333333+0.0000000000j,0.4222632531+0.0000000000j,0.4266196856+0.0000000000j,0.0010271036+0.0000000000j,0.0010272648+0.0000000000j
-0.4882666667+0.0000000000j,0.4222579129+0.0000000000j,0.4266142100+0.0000000000j,0.0010294399+0.0000000000j,0.0010296016+0.0000000000j
